User,Bio,Country
joel.kuo,"It's fine, it's wine. In vino veritas. ",finland
jacques.hers,"Wine is my passion!! 🍷🍷
#JakkalsOnderDieTrap ",south-africa
reynaldo.a,"Wine improves with age. The Older i get, the Better i like it.     ",brazil
zoricku,"Sommelier , wine importer,  wine lover.",ukraine
m6065217a29aa546c61a1019393217a6,I test the wine and the wine tests me!,united-states
tim.del,Full time wine  elmawineliquor,united-states
ross.het,,australia
k.s158,,estonia
m61c781eebd133002f670b4323f27f55,,czech-republic
ian.buxt,Amateur wine drinker. WSET L2. Enjoying the learning curve - practise makes perfect.,united-arab-emirates
rodejo,"Did WSET base course, love quality & also think it's fun finding good stuff under €10",netherlands
chizzanoua,“Wine is inspiring and adds greatly to the joy of living” – Napoleon Bonaparte,ukraine
daniel-hjalmarsson,I love trying new wines! But my heart belongs to 🇿🇦 (and 🇳🇿).,sweden
harmemv,Wine is there to explore and enjoy 😊,netherlands
victor.aga,I vouch for genetically engineered flying grizzly bears. 🐝 colored.,united-states
thierry.cau,Wine lover and wine ,france
invivinoveritas,,russia
kristof-van-,You can't buy happiness but you can buy wine and that's kind of the same thing.,belgium
michael.krav,Wines are always rated to the last💧👌🏻 Telegram: @dosco04,russia
janschaerlaekens,,belgium
alfred.ejsmont,🇵🇱🍷enthusiast with WSET3,poland
pirjos,In Vino Veritas,finland
markvverde,WSET3,portugal
julian.brich,Gaudente appassionato di vino,germany
ernestasr,"My tastes are simple, I am easily satisfied with the best. (Winston Churchill)",lithuania
m61b611aea7344df1a203c4b0a58ac21,,poland
barolo.w,wine lover pharmacist,albania
yoshinori.yasuoka,JSA Wine Expert Certified🍷🥂🍾,japan
pierre.schw,,denmark
svangeel,,netherlands
eder.co,"User since 2010 (hence the 3000 wines)
Insta 📸 coelhoeder // wset certified",netherlands
robertbrown11,On the lookout for great value wines regardless of price range!  Apothic sucks!,canada
xavier-dal,Wine enthusiast WSET 2 & 3,france
gwen.mu,"WSET3, FWS",united-states
renato-fel,"I am a wine lover. Good wine, food and loved ones to share it with  are my passions.",brazil
vinceswine,"Making life a wine adventure. Contributor, Wine Review Online. WSET-3",united-states
tanya.pta,,belarus
roger-van-n,Formed as a chef and a sommelier,belgium
andrea-le,"A crazy mom trying to do business, taste wine, and take care of her special prince.",united-states
jean.cilliers,"Love wine,life and Cats",south-africa
michal.jar,I like to enjoy wine and I like every wine I enjoy,poland
kamila.ge,A human being that was given to wine,switzerland
jason.ell,An american wine expert who was trained in the old world of France.  ,united-states
oscar_hag,WSET level 3 w/ distinction.,finland
rick.may,Guild of the Sommelier 2016,united-states
nudges,"“Wine makes daily living easier, less hurried, with fewer tensions and more  tolerance.",united-kingdom
gunther.d,Active in the wines and spirit industry for over 20 years. Love finding little gems.,malta
naokic,,singapore
martin.maz1,,poland
pauls17,"eCommerce expert and consultant, experienced team leader and weekend wine enthusiast",latvia
erleys,The day the world runs out of wine is just too terrible to think about.,brazil
stoger,Deteriorating case of oenophilia. And a sucker for Champagne :),netherlands
jochem-de-g,WSET2 and WSET3 with distinction,netherlands
rogerio5,"Wine & food lover!🍷🥩
WSET level 3",united-kingdom
tibor.m-,"Drink good wine, pay much is easy. The art is to find great wines for lower price. ",hungary
viniception,"""Schade, dass man Wein nicht streicheln kann"" [Kurt Tucholsky] ",hungary
oblio.noyzz,"Je ne suis pas connaisseur, je suis consommateur ",france
jelle_s,,netherlands
daniel-dj,"World-nomad media professional who learned how to understand equally great friends, fun & wines. ",united-states
m63dd3802a0c54d8028f6bbfa766ad00,I love oysters and champagne!,lithuania
maksim.kova,,germany
scott.gilh,May the Sauce be with you,united-kingdom
m5aefb916581925492ea3c1a282b6ef3,"""Wine...because no great story started with someone eating a salad"".",finland
oleg.sme,"Life and wine lover, father of 2 hijos, tasting wines in top secret at late evenings",russia
ser_veegres,"Penicillin cures, but wine makes people happy.",greece
kristi.reb,,estonia
ronald.pettit,"I enjoy a good Chardonnay and Shiraz, but will give anything a try! 🍷🥂",united-kingdom
guillaume-bbenoit,Finance graduate and enthusiast of great 🍷 from all over the world! WSET level 2✔️,canada
bartlomiej_n,,poland
erik-snel,Passionate wine traveler and taster,netherlands
andrzej.ni,Wine lover. Chablis my favorite white. Experiments with new wine are the best,poland
marcel-baa,,netherlands
torque,Jovial Inquisitor. WSET3. Enforcing Bacchus's no-spitting policy.,greece
randy.mau,zin fan,united-states
f588d5a51aa1283bc0ca4c4dcddeafb4,It's WINE o'clock!,lithuania
pavel22,"Father to 15 Russian wine styles at Vivino.
Ambassador of Russian🇷🇺 winemaking😎",russia
laszlo.kovacs1,"""We rise by lifting others!""
Add me on IG: @basementflag",cyprus
edward-arn,"""Wine is bottled poetry"" - Robert Louis Stevenson Site below is whisky, not wine",new-zealand
maxim.zak,A designated drinker,bulgaria
m864442b25aaf2aa0bf9ef23cbf2467d,We reside in the heart of  Washington and Oregon wine regions. Wine travelers!,united-states
andrej.fil,Wine discoverer,belarus
steen.sk,On my way to the next great glass of wine🍷🍾🥂,denmark
marko.randruut,,estonia
sam-phill,,united-kingdom
robin.ammerlaan,,netherlands
alexandre_ko,Heavy traveler. Football fan. Good wine lover. YPO Moscow.,russia
jaco-pierres,Last night I had a salad for dinner. With lots of grapes. All grapes. It was wine!,south-africa
frederic_k,"Wine is bottled poetry. –Robert Louis Stevenson

Instagram: @vinofred",belgium
spyrosblatsios,"Wine geek from Greece loving Greek, Italian and French  Merlot ",greece
mark-coope,"No to the ""Cheers dear friend"" brigade please!",gibraltar
rene-toft-rasmussen,Wine enthusiast with the heart placed in the right place.  Life is only good wine.,denmark
_konstantyn,"Good wine can cost 5 or 500€. So the challenge is not to pay, but to find.",slovak-republic
cristobal.sindientes,Make ❤ not 💣,poland
kirill-zim,around the world around the ,russia
dries.th,French and italian wines,belgium
urban.er,WSET3 ”If One glass of Wine is good for you imagine what a whole bottle could do”,sweden
chris_have,life's too short to drink bad wine,south-africa
jurgen.leiminger,,japan
ursus.teddicus,"Passionate about fine drinks, gastronomy, travelling, and the arts.",canada
adrian-lea,Let's try something new today,netherlands
paulak,"We only live  once, let's enjoy it!",poland
stevenlee4,Wine is one of life's true pleasures.,united-states
ferno,Cape Wine Academy Diploma student. Obsessed with wine.,south-africa
stanislav.zhe,,bulgaria
emc2,"I'm an astronomer, wine is just my hobby. St. Petersburg ➡️ Barcelona. My name is Vladímir.",spain
colinhousing,Wo ist der Bahnhof?,singapore
vytautas-e,,lithuania
paul.dexx,,australia
ryan-hodges2,But what about all those geese over there?!,united-kingdom
jens.s2,,germany
morgan.haa,"Seeking new experiences, refining my senses, enjoying the journey.",philippines
tor.moe,,norway
m9c6f16a1ba40d69cc05efa207ea74a3,wine and printmaking,united-kingdom
predragk,Airplanes & wine: ✈  & 🍷,italy
didier_h,Export manager Domaine Bousquet Top Organic wine producer,netherlands
coertw,,south-africa
romeo.c1,All the wines I rate were bought by me.,israel
davidconn1,"So lovely that borne by sun, soil, and wind yields fruit through the ancient gnarled vine.",united-states
ananth-m,Director of INTERTWINED - a project designed to train young wine entrepreneurs in Germany,germany
ynnadz,"I love wine,don't expect poetic comments.",united-kingdom
alastair-mal,"Medium body with high tannins:-) Loves wine, food, art and life...",malta
artur.coi,No prejudices.,brazil
maksimb0,,bulgaria
jan-reiner.m,,netherlands
gustavo.zum,,costa-rica
marcus.gre,"Wine lover, if the world end tomorrow, let us finish it with a good glass of wine.",germany
tom_kell,"Bread cheese and wine , food of the Gods",ireland
jorisvandongen,"Dieu n'avait fait que l'eau, mais l'homme a fait le vin. nn~ Victor Hugo",netherlands
ikovalev,,united-kingdom
kamil.kaj,Life is too short to drink bad wine.,poland
just-this.girl,"Fixing the (English) misspellings on Vivino, one review at a time 😂😂",united-kingdom
gert.van-wy,My ratings are based on how a bottle went down...not a tasting glass. ,south-africa
dcanuzo,Each tasted wine leaves a memory behind ,switzerland
evgeniy.blagoev,,bulgaria
sawomirg,,poland
edvins.silvnieks,FIRST ON VIVINO WITH ALL 320 STYLES ✅✅✅,latvia
juan-luis.gon,"WSET 2 w/distinction 
@zinsandcabs  Bistrot Cinq / Cinq Wines",guatemala
ricardovidal,,germany
di_ci,Bodegas de Sangre....ehrliche und offene Kritik......Preis-Leistung!!!,germany
gary.parg,,united-kingdom
luca.con,"Wine lover, philosopher of science, thinks about ethics and philosophy of taste",netherlands
mari.kin,,singapore
mads-brndenw,La vie en Champagne 🍾,denmark
stuartward1,,united-kingdom
stevewilliams18,A wine enthusiast & part-time wine & whisky lecturer with a WSET Higher Certificate.,united-kingdom
tom.wo,L4 WSET Wine Diploma,united-kingdom
adam.kr,i own a dog,united-states
alex.heit,,ukraine
paulgrundy,I love wine and sharks.,ireland
kristian-georgk,Diploma Student- WSET level 2 & 3 both with distiction. ,norway
jonathan-leem,WSET L4 Diploma candidate |🍷 Wine Marketer | @jpleeming,australia
tommi.uhari,,finland
david.tallwin,,sweden
michaeln11,"Prefer Australian and Californian reds, but aim to try everything",denmark
marco_nordio,Wine lover and importer,new-zealand
timo_mul,,finland
joshlim0,WSET Level 2 (Merit) 🍷 Whisky Ambassador®️ 🥃,singapore
kristof_de,Winelover with an open mind - focus on Italy - South-Afrika - Germany. ,belgium
helen_cal,Always interested in finding tasty but inexpensive whites & rosés.,united-states
marcel-r,,netherlands
fernan_c,,united-states
chris_brays,,united-kingdom
katherina.sl,,belarus
cab86a155734c799ca754a50b7ac52cb,Delight in Drinking Wines.  They satisfy the body and nourish the Soul.  🍷🍷🍷,united-states
mark-and-jan,"We travel the world, try the wine, and bring the best home.",united-kingdom
robim-norihitof,,brazil
sean_gee,WSET2 Distinction - Value Searcher,ireland
steve_arn, 🍷wine  ♨️ BBQs  ✈️ travel,new-zealand
gavin-wit,"Follow me on facebook ""The Wine Taster""",south-africa
rafdeleu,"3 loves: 🇬🇷, 🇪🇸 and cooking + finding the ideal pairing 🥰",belgium
marojem,,croatia
arcfire,WSET 2 Merit | IG @_arcfire,united-arab-emirates
grzegorz-h,Ghplus,poland
ianking3,,united-kingdom
rane.b," wine enthusiast 
 vivino member since 2013 ",denmark
arie-str,Here for the wine,netherlands
mikhail.protopopov,"Medical doctor, amateur wine lover.",germany
gord.va,"Wine, food and music loving cowboy from Saskatchewan!",canada
michal.kul,Wine mirrors your most extreme desires!,poland
gintaras-t,,lithuania
neal.lag,Living a wine life around the world one sip at a time,united-states
c-j.francis,"Chris Harrop, Author, What Wines When - 200 Wines Under $20. ",canada
pico.l,"FISAR sommelier, WSET 3 based in Milan
5* Amazing 
4* Great
 Good
3* OK
2* No thx",italy
nikolas-vas,🤒🍇🍷😝,cyprus
john.cosg,Well travelled and a lover of wine from all over the world,kenya
robert.van-no,,netherlands
tony.mccl,"Amateur wine enthusiast with  interest in classic reds  Bordeaux, Rioja, Napa.",united-kingdom
rafal.mo,Life's Too Short to Drink Bad Wine,poland
ron.de-ke,"Una cena senza vino e come un giorno senza sole - outdoors, wine & life enthousiast",netherlands
warren.mal,"Daydreamer, motorcycle traveller, coffee snob",japan
thijs.van-der-g,WSET2 - instagram ,netherlands
zosiab,,belgium
paul-hines1,"Certified Sommelier, French Wine Scholar, Italian Wine Specialist",canada
aaron-blaz,"Rating wine as it stands, regardless of it's price.",united-states
michael-vanting,"Explorative, curious - so much too taste and learn about Wine.",denmark
kutasi,,hungary
dlkrak,jetanotherwinemaniac.,poland
liviu.hh,"Passionate, ambitious and extremely curios wine lover !",romania
osamu.taniguchi,,japan
joseph.wilm,In Panamá  or Colombia . We have the Best Restaurants. The Best Hotels. The Best Wine,panama
bd61f8518eb37fd4464f57a69ee9bcbb,"
Unrepentant Rhôneaholic & old 🌎 🍷lover! 
Nothing Rhône with that! Santé 😁!",canada
vladimir.vas,"VC investor and business advisor, fond of food, wine and travel",lithuania
walterwe1,,netherlands
rodrigo.de-lo,Learning how to appreciate wines.,brazil
valentinabodro,,russia
alexandru.costache,I am my memories.,romania
m06e26d2f94dc45b26b0a6912d30bfe5,Certified Specialist of Wine.,united-states
amanda_gob,Lover of travel. good wine. good food. adventure. spontaneity. free spirit,united-states
alexander.malysh,,russia
alexander.dmt,,netherlands
null.null438,,latvia
dirk-van-den-b,WSET level 3,belgium
dennis.de,,netherlands
ricardo.g,"If God forbade drinking, would He have made such good wine?",switzerland
michael.witte,Always in to discover new wines from various countries with a preference for Italy.,netherlands
cartagenar,"Rare Books, master carpenter. Loves wine, food Europe, Carribean, People & travel ",united-states
jeroen_janss,always enjoys a nice meal with a pleasant wine,netherlands
tomas.simecek,,czech-republic
edgarsk,,latvia
marek.zed,,switzerland
george.stron,It’s true: the best wine's the one in your glass. Pour something nice and enjoy!,korea-south
merlotmaori,"I lika fasta cars, curvaceous woman and full bodied wine",new-zealand
tomas.v2,Tasting to experience and to understand. ,lithuania
junior.coetzer, for the love of wine. Each bottle tells it’s own tale! ,south-africa
wilf.d,,united-kingdom
roberts25,Specialise in wine/food pairing. ,united-kingdom
rilel,,netherlands
mikolaj.l,,poland
kaj.kou,IG: gym_wine_lover,czech-republic
francois.bou, Need I say more?,south-africa
ronnyh,Just a sucker for good wine - (WSET2) 🍷🥂,denmark
lynn.the,Casual enthusiast who is eager to explore. ,belgium
jurgen-fath,,germany
vladimiro.s1,All scores has accordance with prices,italy
werner-pa,Educator. Co-founder of Bedford Pinot noir appreciation society. Lover of champagne.,korea-south
bert-id,,netherlands
m299fec9c34ca98d3c7998acbbe9dd5b,,united-kingdom
andy..a,,japan
marianna-mat,Drink for pleasure (WSET2Dist),cyprus
pavel.lok,,russia
phil-richa,,united-kingdom
mats.gy,"Ουδεις πιων οινον παλαιον θελει νεον, λεγει γαρ: «ο παλαιος χρηστος εστιν!»",finland
tiffany-sk,My mission is to get people to drink more Canadian wine!,canada
alexandr.tichonov,,czech-republic
roberto.lie,Wine drinker,singapore
vasyl.d,"Der Trinker kennt das Gift, der Abstinenzler die Heilkraft des Weines nicht.",ukraine
nina.kittilskaas,,norway
hugo.corado,,guatemala
ivarm0,,netherlands
rik-sme,,netherlands
lucass1,Good wine is a necessity of life for me.,poland
mike-russell,🍷🤡 An Aussie living in Tokyo who loves wine 🍷 ,japan
david.mie,Always searching for the best quality at the lowest price. Wine never gets boring.,belgium
paul-o-keeffe, Photo of Porto.,united-kingdom
charles-coe,"‘Remember, gentlemen, it’s not just France we’re fighting for, it’s Champagne!’",south-africa
m1fa4fdbba40e0e70a84625dbce767c2,,south-africa
michael.ada,Not a wine aficionado but I’m always seeking new opportunities.,united-kingdom
stephenco1,"Founder of Nipa Brew Craft Beers & WTH Foods. I make beer, but I love wine more.",philippines
juan.ost,"Drinking good wine, with good food, in good company",peru
aiyana.zinkand,,laos
teo.pau,,romania
john-bruunl,,denmark
ben.ash,,south-africa
rixtb,Getting there!,netherlands
erik-van-t-,,netherlands
duncan_scott,"""That's what I do. I drink & I know things!""",united-kingdom
elliotmercer,Professional dancer and dance historian hailing from SF and now based in Colorado. ,united-states
max.tab,graduated GoodWine sommelier school,ukraine
dclaus,,germany
piotr-row,"WSET2, wine as a hobby 🙌 one of many 😉",poland
wouter.bolderman,Good wine should be shared great wine not so much 🙂,netherlands
thorsten.sc,Holding back the years,germany
gustavo_gont,"Trying a new wine everyday!
Never repeat yourself. Life is already too boring.",brazil
joost.van-la,"A drinker, more than a taster. But enjoying every sip.",netherlands
anthony_rob,A lover of good food and wine. Always on the lookout for that special bottle.,united-kingdom
marietjie.k,,south-africa
masakim,"JSA Wine Expert, WSET3 with Dis, FWS Highest Honors. Wset Level4 on going.",thailand
zbigniew.m,Who said I cannot pair wine with Vege food? All alcohol including wine is Vege!,poland
istvanmedvigy,A Hungarian Wine Enthusiast in Korea,korea-south
ec61dd3520d86c52e665de6029fb1377,Follow my wine journey on Instagram   (🍾WineAdvocate🍷),united-kingdom
paul.dieh,,united-states
mrashadm,,united-states
a7750e8295df0e48daf8e8806c76f89e,,denmark
linda.doc,WSET3 with merit / Wine tasting is a never ending journey!!!,netherlands
eugene_oca,,ireland
nicn1,"""I cook with wine, sometimes I even add it to the food” -WC Fields. WSET4 Candidate",luxembourg
yotam,,israel
michael_walling,Wine Lead - Central Market Southlake,united-states
jiriv,Wijncursus SWEN 2 & 3 doorlopen. Gediplomeerd wijnbrevet SWEN 3 per 24-3-2015.,netherlands
clyde-peggye,"""If food is the body of good living, wine is its  - Clifton Fadiman",south-africa
eben.l,WSET Level 3.  Using the WSET rating scale.  Lover of wine and food.,united-kingdom
roberto_bassa,"MD, PhD, FACC, Cardiologista, Rio de Janeiro, Membro ABS-Barra. Just a wine lover!",brazil
marek.red,In vino veritas! ;),poland
rocky-p,"I enjoy wine and bikes, just not at the same time.",canada
ivo-andre,,bulgaria
mfd32d67698ed01bde75ceef04bdfffd,Residential development & wine tasting in Prague 👌,czech-republic
ig-vasek,"to fully appreciate the best of jigsaw, you should also touch the bad and the average",czech-republic
andrii.sheveliev,,ukraine
darko-b,,poland
jaco.jan,Drinking wine with friends and Family. Laziness travel so slowly that poverty will overtake you!,south-africa
world.expert,"Let’s face it, everyone in the top 100 of Vivino are alcoholics, me included",switzerland
rhys.ow,"20+ years in F&B industry, currently Regional Director of F&B for Africa for Hilton",south-africa
shumovka,* - spoilt** - meh*** - ok but**** - more please***** - wow,ukraine
gintautas-br,,lithuania
pszemo.pszemo,Stephen Báthory being served wine,lithuania
stephanie.diam,,united-states
twosometravel,"Anastasia&George’s wine log: 
We love delicious food, tasty wine and interesting travel",ireland
susan_neil,"Swimming in the ocean of wine knowledge. CSW, Oregon Wine Expert, CSWS",united-states
lubos.vrbka,Riesling & Pinot fan! 2•5 OK - 3 good - 3•5 very good - 4 excellent - 4•5 exceptional - 5 heavenly,germany
tobiasberg2,"""Thats what I do, I drink and I know things"" - Tyrion Lannister",germany
philip.smit,Thirsty. Ramsbottom. Paisley. 🏴󠁧󠁢󠁳󠁣󠁴󠁿,united-kingdom
libardor,,united-states
martin-laws,"Tall, northern, london, cycling, skiing, house music and wine. All original 292 ✅ 🌎",united-kingdom
kate.ozel,Instagram -> 13kaoz,united-arab-emirates
alain.pri,,belgium
karl.nie,"Wine lover, wine drinker!",south-africa
mateusz.jakubowski,Wine amateur and wine lover.,poland
duncan.castles,,south-africa
milos.pu,,republic-of-serbia
walter-ericsonr,Life is too short to drink bad wine,philippines
luca.stef,"Photographer, traveller and tech addicted. Life is too short to drink bad wines.",austria
sherry-rah,WSET 3  🍷🥂 🇱🇷 🇮🇹 🇨🇵,united-states
marijn-br,"Passionate about God, family, wine, golf and finance.",netherlands
georgie.mizoka,WSET Level 2 Gay wine lover; Manager of small Italian trattoria in West Hollywood. ,united-states
ryan-dane,"I love wine, and with this app I can find all I want and share my experience!",united-states
dorothyg,Big. Bold. Beautiful. That's my  that's me.,united-states
usvare,"Vin skal man dele 🤗🥂
Vivino since Nov. 2011.
 Wine should be shared 🍷
",denmark
aleksejd,,ukraine
ari-vanska,Just making notes to myself. ,finland
daniel_im,"🍇WSET Level 4 (progress D1/D4 w. Merit)🍇  
🍷 WSET 3 w/Merit 🍷 
🇪🇸 SWS w/Highest Honors 🇪🇸 
",austria
danny.heuvelmans,,netherlands
carsten.henk,,germany
uladr,"“It's not just France we are fighting for, it's Champagne!"" W. Churchill, 1918",cyprus
eldad.cohen,Just a simple guy that enjoys his wine at the end of a long day.,israel
gerry-de,,netherlands
jacoba4,Always Look At The Bright Side of Wine,korea-south
victoria.kovalchuk,,ukraine
igleck.noire,,japan
anton_ne,TIME TO PULL THE CORK!!!,russia
sam.as,Entrepreneur and wine lover with a passion for Champagne. Love wine travel.,sweden
maxim.kabanov,Accessible reviews for the casual enthusiast,russia
m59b42cb77a6c3cac230279f707ccb16,,croatia
andre.vasconcell,"An Italian wine lover, specially Primitivo!!
Life passes faster, so we must enjoy it",united-states
fernando-jl,"I consider myself a novice in the world of wine, so i want to learn a little more",spain
tom_angelo,Wine nerd.,netherlands
sharon.vb,🥂🍷Started to use Vivino 18-11-2018🍷🥂,netherlands
espen-bog,Globetrotting wine enthusiast with WSET Level 4 Diploma,norway
gustavo_sc,🍷🤌🏻,spain
capomano,Non solo italiano :: WSET2,norway
lyn_t,"A wine lover using this app to record short, simple notes for myself. 
Have WSET 1, 2 and 3.",belgium
gert-ant,Pinot noir. Not very good at describing different fruits and berries.,estonia
maurizio.terz,A meal without wine is like a day without sunshine- JA Brillant-Savarin,italy
gordon_coa,,united-kingdom
doug.wal,"A simple fan of good wine.
WSET 2 with Distinction.",canada
david_qu,"Wine & food journeys-inspired oenophile, who exults joie de vivre, carpe diem!",malaysia
rainer.gehrmann,,south-africa
gustavo.ziemath,WSET 3,france
klaus.lysdal,,denmark
mark.gud,My passion is education. My hobby is wine. (Or is it the other way around?),united-states
allar.antson,,finland
pablo_y,,philippines
leonides.intalan,,philippines
jamesqk,,australia
kimmo.hoikka,,united-kingdom
vova.qza,,ukraine
guy.hende,Always on the look out for wines I haven't tried and the best wine deals.,colombia
thomashyde,WSET Diploma student ,thailand
beneluxwine,,netherlands
owen.de-v,Wine fan of all grapes and styles,united-kingdom
lukas.zs,,czech-republic
marcinz1,,poland
anastasia.net,Somm wine dairy. Sharing passion for wine and highly subjective tasting notes.,estonia
chafs,,united-arab-emirates
rok.mezgec,"Honorable Wine Convention Maribor, Slovenia - World's Oldest Vine",slovenia
john-jas,,netherlands
lauris-g,,lithuania
kurtdahl,"Entertainment Lawyer, Drummer, Wine Lover ",canada
m217672bb8a02ffa770c2aa905d79ee1,,netherlands
